EPISODE 95: TOTAL REWARD: -343974.0, AVGWAITTIME: 85.08735700957936 
EPISODE 96: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.22047878469 
EPISODE 97: TOTAL REWARD: -344381.0, AVGWAITTIME: 84.98453829253829 
EPISODE 98: TOTAL REWARD: -343854.0, AVGWAITTIME: 83.37347828904903 
EPISODE 99: TOTAL REWARD: -344351.0, AVGWAITTIME: 85.96045006331958 
EPISODE 100: TOTAL REWARD: -344826.0, AVGWAITTIME: 83.59472757802895 
EPISODE 101: TOTAL REWARD: -343993.0, AVGWAITTIME: 86.19951355694074 
EPISODE 102: TOTAL REWARD: -344414.0, AVGWAITTIME: 86.36092174661246 
EPISODE 103: TOTAL REWARD: -344798.0, AVGWAITTIME: 83.26854507494794 
EPISODE 104: TOTAL REWARD: -344032.0, AVGWAITTIME: 84.45129135234492 
EPISODE 105: TOTAL REWARD: -343947.0, AVGWAITTIME: 86.26463842705232 
EPISODE 106: TOTAL REWARD: -344059.0, AVGWAITTIME: 85.96871078826686 
EPISODE 107: TOTAL REWARD: -344493.0, AVGWAITTIME: 83.86254027186263 
EPISODE 108: TOTAL REWARD: -343826.0, AVGWAITTIME: 85.35184361986227 
EPISODE 109: TOTAL REWARD: -343780.0, AVGWAITTIME: 84.52304548162383 
EPISODE 110: TOTAL REWARD: -344424.0, AVGWAITTIME: 85.25009875875087 
EPISODE 111: TOTAL REWARD: -344301.0, AVGWAITTIME: 86.3496336086344 
EPISODE 112: TOTAL REWARD: -344310.0, AVGWAITTIME: 86.36222635380531 
EPISODE 113: TOTAL REWARD: -344213.0, AVGWAITTIME: 86.4337926880826 
EPISODE 114: TOTAL REWARD: -344689.0, AVGWAITTIME: 86.09526700586575 
EPISODE 115: TOTAL REWARD: -343706.0, AVGWAITTIME: 84.72586869207299 
EPISODE 116: TOTAL REWARD: -344369.0, AVGWAITTIME: 86.18335647412547 
EPISODE 117: TOTAL REWARD: -344734.0, AVGWAITTIME: 87.09568388137254 
EPISODE 118: TOTAL REWARD: -344050.0, AVGWAITTIME: 84.12089689995567 
EPISODE 119: TOTAL REWARD: -344167.0, AVGWAITTIME: 84.78983385182431 
EPISODE 120: TOTAL REWARD: -344764.0, AVGWAITTIME: 85.94357608275537 
EPISODE 121: TOTAL REWARD: -344367.0, AVGWAITTIME: 86.42187705167709 
EPISODE 122: TOTAL REWARD: -344476.0, AVGWAITTIME: 85.15334520455087 
EPISODE 123: TOTAL REWARD: -344343.0, AVGWAITTIME: 87.68189196233102 
EPISODE 124: TOTAL REWARD: -344311.0, AVGWAITTIME: 83.73840765129066 
EPISODE 125: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.48476735757559 
EPISODE 126: TOTAL REWARD: -343763.0, AVGWAITTIME: 87.03724043737658 
EPISODE 127: TOTAL REWARD: -344620.0, AVGWAITTIME: 84.62925513086988 
EPISODE 128: TOTAL REWARD: -344284.0, AVGWAITTIME: 85.31480595787015 
EPISODE 129: TOTAL REWARD: -343980.0, AVGWAITTIME: 83.1183633581851 
EPISODE 130: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.12468566106489 
EPISODE 131: TOTAL REWARD: -343949.0, AVGWAITTIME: 84.79930882519325 
EPISODE 132: TOTAL REWARD: -343887.0, AVGWAITTIME: 85.79258512510575 
EPISODE 133: TOTAL REWARD: -343917.0, AVGWAITTIME: 84.11244115860853 
EPISODE 134: TOTAL REWARD: -343935.0, AVGWAITTIME: 86.24769351402902 
EPISODE 135: TOTAL REWARD: -344656.0, AVGWAITTIME: 83.93402466853168 
EPISODE 136: TOTAL REWARD: -344270.0, AVGWAITTIME: 84.50470553688722 
EPISODE 137: TOTAL REWARD: -344323.0, AVGWAITTIME: 84.6730855309393 
EPISODE 138: TOTAL REWARD: -344188.0, AVGWAITTIME: 85.85883674009156 
EPISODE 139: TOTAL REWARD: -344441.0, AVGWAITTIME: 85.40124578746817 
EPISODE 140: TOTAL REWARD: -344030.0, AVGWAITTIME: 84.42355342679933 
EPISODE 141: TOTAL REWARD: -343516.0, AVGWAITTIME: 84.59133380595581 
EPISODE 142: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.31721496377942 
EPISODE 143: TOTAL REWARD: -344279.0, AVGWAITTIME: 85.14123072734964 
EPISODE 144: TOTAL REWARD: -343701.0, AVGWAITTIME: 86.39357243653284 
EPISODE 145: TOTAL REWARD: -343974.0, AVGWAITTIME: 85.08735700957936 
EPISODE 146: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.22047878469 
EPISODE 147: TOTAL REWARD: -344381.0, AVGWAITTIME: 84.98453829253829 
EPISODE 148: TOTAL REWARD: -343854.0, AVGWAITTIME: 83.37347828904903 
EPISODE 149: TOTAL REWARD: -344351.0, AVGWAITTIME: 85.96045006331958 
EPISODE 150: TOTAL REWARD: -344826.0, AVGWAITTIME: 83.59472757802895 
EPISODE 151: TOTAL REWARD: -343993.0, AVGWAITTIME: 86.19951355694074 
EPISODE 152: TOTAL REWARD: -344414.0, AVGWAITTIME: 86.36092174661246 
EPISODE 153: TOTAL REWARD: -344798.0, AVGWAITTIME: 83.26854507494794 
EPISODE 154: TOTAL REWARD: -344032.0, AVGWAITTIME: 84.45129135234492 
EPISODE 155: TOTAL REWARD: -343947.0, AVGWAITTIME: 86.26463842705232 
EPISODE 156: TOTAL REWARD: -344059.0, AVGWAITTIME: 85.96871078826686 
EPISODE 157: TOTAL REWARD: -344493.0, AVGWAITTIME: 83.86254027186263 
EPISODE 158: TOTAL REWARD: -343826.0, AVGWAITTIME: 85.35184361986227 
EPISODE 159: TOTAL REWARD: -343780.0, AVGWAITTIME: 84.52304548162383 
EPISODE 160: TOTAL REWARD: -344424.0, AVGWAITTIME: 85.25009875875087 
EPISODE 161: TOTAL REWARD: -344301.0, AVGWAITTIME: 86.3496336086344 
EPISODE 162: TOTAL REWARD: -344310.0, AVGWAITTIME: 86.36222635380531 
EPISODE 163: TOTAL REWARD: -344213.0, AVGWAITTIME: 86.4337926880826 
EPISODE 164: TOTAL REWARD: -344689.0, AVGWAITTIME: 86.09526700586575 
EPISODE 165: TOTAL REWARD: -343706.0, AVGWAITTIME: 84.72586869207299 
EPISODE 166: TOTAL REWARD: -344369.0, AVGWAITTIME: 86.18335647412547 
EPISODE 167: TOTAL REWARD: -344734.0, AVGWAITTIME: 87.09568388137254 
EPISODE 168: TOTAL REWARD: -344050.0, AVGWAITTIME: 84.12089689995567 
EPISODE 169: TOTAL REWARD: -344167.0, AVGWAITTIME: 84.78983385182431 
EPISODE 170: TOTAL REWARD: -344764.0, AVGWAITTIME: 85.94357608275537 
EPISODE 171: TOTAL REWARD: -344367.0, AVGWAITTIME: 86.42187705167709 
EPISODE 172: TOTAL REWARD: -344476.0, AVGWAITTIME: 85.15334520455087 
EPISODE 173: TOTAL REWARD: -344343.0, AVGWAITTIME: 87.68189196233102 
EPISODE 174: TOTAL REWARD: -344311.0, AVGWAITTIME: 83.73840765129066 
EPISODE 175: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.48476735757559 
EPISODE 176: TOTAL REWARD: -343763.0, AVGWAITTIME: 87.03724043737658 
EPISODE 177: TOTAL REWARD: -344620.0, AVGWAITTIME: 84.62925513086988 
EPISODE 178: TOTAL REWARD: -344284.0, AVGWAITTIME: 85.31480595787015 
EPISODE 179: TOTAL REWARD: -343980.0, AVGWAITTIME: 83.1183633581851 
EPISODE 180: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.12468566106489 
EPISODE 181: TOTAL REWARD: -343949.0, AVGWAITTIME: 84.79930882519325 
EPISODE 182: TOTAL REWARD: -343887.0, AVGWAITTIME: 85.79258512510575 
EPISODE 183: TOTAL REWARD: -343917.0, AVGWAITTIME: 84.11244115860853 
EPISODE 184: TOTAL REWARD: -343935.0, AVGWAITTIME: 86.24769351402902 
EPISODE 185: TOTAL REWARD: -344656.0, AVGWAITTIME: 83.93402466853168 
EPISODE 186: TOTAL REWARD: -344270.0, AVGWAITTIME: 84.50470553688722 
EPISODE 187: TOTAL REWARD: -344323.0, AVGWAITTIME: 84.6730855309393 
EPISODE 188: TOTAL REWARD: -344188.0, AVGWAITTIME: 85.85883674009156 
EPISODE 189: TOTAL REWARD: -344441.0, AVGWAITTIME: 85.40124578746817 
EPISODE 190: TOTAL REWARD: -344030.0, AVGWAITTIME: 84.42355342679933 
EPISODE 191: TOTAL REWARD: -343516.0, AVGWAITTIME: 84.59133380595581 
EPISODE 192: TOTAL REWARD: -344441.0, AVGWAITTIME: 86.31721496377942 
EPISODE 193: TOTAL REWARD: -344279.0, AVGWAITTIME: 85.14123072734964 
EPISODE 194: TOTAL REWARD: -343701.0, AVGWAITTIME: 86.39357243653284 
EPISODE 195: TOTAL REWARD: -343974.0, AVGWAITTIME: 85.08735700957936 
EPISODE 196: TOTAL REWARD: -343963.0, AVGWAITTIME: 85.22047878469 
EPISODE 197: TOTAL REWARD: -344381.0, AVGWAITTIME: 84.98453829253829 
EPISODE 198: TOTAL REWARD: -343854.0, AVGWAITTIME: 83.37347828904903 
EPISODE 199: TOTAL REWARD: -344351.0, AVGWAITTIME: 85.96045006331958 
EPISODE 200: TOTAL REWARD: -344826.0, AVGWAITTIME: 83.59472757802895 
EPISODE 201: TOTAL REWARD: -343993.0, AVGWAITTIME: 86.19951355694074 
EPISODE 202: TOTAL REWARD: -344414.0, AVGWAITTIME: 86.36092174661246 
EPISODE 203: TOTAL REWARD: -344798.0, AVGWAITTIME: 83.26854507494794 
EPISODE 204: TOTAL REWARD: -344032.0, AVGWAITTIME: 84.45129135234492 
EPISODE 205: TOTAL REWARD: -343947.0, AVGWAITTIME: 86.26463842705232 
EPISODE 206: TOTAL REWARD: -344059.0, AVGWAITTIME: 85.96871078826686 
EPISODE 207: TOTAL REWARD: -344493.0, AVGWAITTIME: 83.86254027186263 
EPISODE 208: TOTAL REWARD: -343826.0, AVGWAITTIME: 85.35184361986227 
EPISODE 209: TOTAL REWARD: -343780.0, AVGWAITTIME: 84.52304548162383 
